case_id,ข้อความลูกค้า,สถานะก่อนหน้า,expected_step,expected_objection,expected_handoff,หมายเหตุ
G01,สวัสดีครับ,ลูกค้าใหม่,S1,,false,ทักลอย ยังไม่บอกสินค้า
G02,อันนี้คืออะไรอะ,ลูกค้าใหม่,S2,,false,ถามถึงสินค้า = รู้แล้วว่าสนใจอะไร
G03,3 ถ้วยราคาเท่าไหร่,ลูกค้าใหม่,S2_ASK,,false,บอกจำนวน+ถามราคา ไม่มีคำว่าสั่ง/ซื้อ/รับ/เอา
G04,เอา 3 ถ้วยครับ,ลูกค้าใหม่,S2_DIRECT,,false,มีคำตัดสินใจ (เอา) = สั่งแล้ว
G05,95 บาทเนี่ยนะ แพงไปมั้ย,คุยอยู่ S2,S2,OBJ_PRICE,false,บ่นแพง ยังไม่ได้ขอลด — ไม่ใช่ H2
G06,ลดให้หน่อยได้มั้ยครับ ซื้อเยอะๆ,คุยอยู่ S2,H2,,true,ขอลดตรงๆ = intake แล้วส่งคน
G07,กลัวโอนแล้วไม่ได้ของอะ,คุยอยู่ S2,S2,OBJ_SCAM,false,เสนอ COD ทันที
G08,ขอคิดดูก่อนนะคะ,คุยอยู่ S2,S2,OBJ_THINK,false,ถามหาข้อกังวล 1 ครั้ง ไม่กดดัน
G09,10 กรัมเองเหรอ นิดเดียว,คุยอยู่ S2,S2,OBJ_SIZE,false,
G10,มีรีวิวมั้ย มีคนกินแล้วยัง,คุยอยู่ S2,S2,OBJ_REVIEW,false,ห้ามแต่งรีวิว
G11,น้ำพริกตลาดถุงละ 20 เอง,คุยอยู่ S2,S2,OBJ_HOMEMADE,false,
G12,ขอลองถ้วยเดียวก่อนได้มั้ย,คุยอยู่ S2,S2,OBJ_MIN_QTY,false,ตอบว่าได้ทันที
G13,มีอะไรเป็นส่วนประกอบบ้าง,คุยอยู่ S2,S2,,false,FAQ action=answer → ส่งคำตอบชีตตรง {ส่วนประกอบตามฉลาก}
G14,แพ้กุ้ง กินได้มั้ยคะ,คุยอยู่ S2,H1,,true,🔴 keyword pre-check ต้องดักก่อนถึง AI
G15,ลูกกินได้มั้ยคะ เผ็ดมั้ย,คุยอยู่ S2,H1,,true,ถามแทนเด็ก = สุขภาพ → H1 ไม่ใช่ OBJ_SPICY
G16,ขอเลขบัญชีค่ะ,เลือกโอนแล้ว,S3_TRANSFER,,false,ให้เลขบัญชี + ขอที่อยู่ในชุดเดียวกัน
G17,(ส่งรูปสลิป),สั่งแล้ว เลือกโอน,S4A,,false,ห้ามพูดว่ายอดเข้าแล้ว
G18,(ให้ที่อยู่ครบ),มีสลิปแล้ว,S4B,,false,ทวน = แจ้งให้ทราบ ห้ามถามถูกต้องมั้ยคะ
G19,เปลี่ยนเป็นเก็บปลายทางได้มั้ย,สรุปยอดโอนแล้ว ยังไม่จ่าย,X1,,false,เปลี่ยนวิธีชำระ ยังไม่ปิดจบ
G20,เบอร์ผิด ขอแก้เป็น 0812345678,ออเดอร์บันทึกแล้ว ยังไม่คอนเฟิร์ม,S_EDIT,,false,order_editable → แก้แถวเดิม
G21,ขอเปลี่ยนที่อยู่ค่ะ,ออเดอร์คอนเฟิร์มแล้ว,X2,,true,order_confirmed_locked → รับเรื่อง + ส่งคน
G22,ของยังไม่ถึงเลยค่ะ สั่งไปอาทิตย์นึงแล้ว,ลูกค้าเก่า,H3,,true,เคลม = intake เก็บข้อมูลก่อนส่งคน
G23,มีขายที่ 7-11 มั้ย,คุยอยู่ S2,S_UNKNOWN,,true,นอกตาราง → ตอบสวย+เรียกคน · เคสแบบนี้คือคิวเพิ่มแถวใหม่
G24,รับทำ OEM มั้ยครับ,ลูกค้าใหม่,S_UNKNOWN,,true,นอกตาราง
G25,วันนี้ร้อนจัง,คุยอยู่ S2,S2,,false,คุยเล่น → รับมุกด้วยปิดท้ายของประตูปัจจุบัน วกกลับ funnel
